experiment,seed,task,model,epochs,final_closed_test_loss,final_open_test_loss,peak_open_test_loss,peak_closed_test_loss,trajectory_gain_distance,open_loop_test_loss_spike,closed_loop_plateau,plateau_length,stage1_end,plateau_end,stability_crossing,stability_to_plateau_gap,final_closed_coupled_radius,closed_recovered,claim_C1_divergence,claim_C2_stages,claim_C3_stability_transition,requested_device,resolved_device,runtime_seconds,variant
generalization_tracking_task,0,tracking,linear_rnn,1000,0.23584443300729618,0.2620429608353879,107.45496778897942,2.9579804937541483,0.1453731906302125,True,True,281,28,309,692.0,-383.0,1.0060534896642215,True,True,True,True,cuda,cuda,497.0927174091339,tracking_task
generalization_tracking_task,1,tracking,linear_rnn,1000,0.34213198296536573,0.4229093350342009,122.02540144219995,2.2038574081286786,0.40786882953864295,True,True,317,9,326,782.0,-456.0,1.020191709939508,True,True,True,True,cuda,cuda,497.44325852394104,tracking_task
generalization_tracking_task,2,tracking,linear_rnn,1000,0.34364832419203595,0.43248247847892346,121.55221043981612,2.6991217125952245,0.4593132717995975,True,True,149,27,176,,,1.012047036098406,True,True,True,False,cuda,cuda,497.286705493927,tracking_task
generalization_tracking_task,3,tracking,linear_rnn,1000,0.21476927583549696,0.4622379878209904,115.78441481225192,9.962557847797871,0.5551369161718008,True,True,84,24,108,,,1.0043428822023779,True,True,True,False,cuda,cuda,496.01100516319275,tracking_task
generalization_tracking_task,4,tracking,linear_rnn,1000,0.2425601527418621,0.23382406021955832,55.95209641771566,3.6784337414056063,0.36488211128500564,True,True,387,28,415,639.0,-224.0,1.014941697530738,True,True,True,True,cuda,cuda,497.20899748802185,tracking_task
generalization_tracking_task,5,tracking,linear_rnn,1000,0.3165577442438371,0.3039753171501798,107.17428136192262,3.8035121087729933,0.16397922722678532,True,True,239,10,249,,,1.0099287819638632,True,True,True,False,cuda,cuda,496.13904881477356,tracking_task
generalization_tracking_task,6,tracking,linear_rnn,1000,0.2607848931127228,0.4712349860753602,119.81424614019691,4.3497372625023125,0.705422382524192,True,True,572,12,584,873.0,-289.0,1.0017330749692974,True,True,True,True,cuda,cuda,495.9089457988739,tracking_task
generalization_tracking_task,7,tracking,linear_rnn,1000,0.3245483355462784,0.8635169830036467,120.85042957924307,3.41212479300797,0.7161358845017473,True,True,166,14,180,,,1.0075378120684038,True,True,True,False,cuda,cuda,495.9849622249603,tracking_task
generalization_tracking_task,8,tracking,linear_rnn,1000,0.241381164919585,0.5845688759512268,118.92080278351904,2.5511007726937533,0.7645480086108463,True,True,113,21,134,,,1.003463176827748,True,True,True,False,cuda,cuda,494.15909337997437,tracking_task
generalization_tracking_task,9,tracking,linear_rnn,1000,0.24659639974823222,1.1415453541651368,118.41631336651743,4.378803121522069,1.3663659449807244,True,True,160,68,228,,,1.0041907534983978,True,True,True,False,cuda,cuda,495.77664256095886,tracking_task
generalization_ring_path_integration,0,ring,gru,1000,0.44647448975827614,0.445825971816447,5.481719735264778,8.282588672637939,0.02753052163117528,False,True,11,42,53,,,,True,False,True,False,cuda,cuda,267.0460171699524,ring_path_integration
generalization_ring_path_integration,1,ring,gru,1000,0.21428174511572068,0.2144859253086679,6.090085670351982,3.152155616879463,0.014211735256177058,False,True,77,21,98,,,,True,False,True,False,cuda,cuda,266.7230079174042,ring_path_integration
generalization_ring_path_integration,2,ring,gru,1000,0.2927624896561383,0.29399946509574876,4.069246590137482,2.7476148322224616,0.027777787876766852,False,True,656,44,700,,,,True,False,True,False,cuda,cuda,265.5172984600067,ring_path_integration
generalization_ring_path_integration,3,ring,gru,1000,0.27443532641127033,0.2748883924652773,3.106985327601433,2.321914704144001,0.034279899251656594,False,True,671,29,700,,,,True,False,True,False,cuda,cuda,267.9681758880615,ring_path_integration
generalization_ring_path_integration,4,ring,gru,1000,0.4213069095339961,0.4206996432491529,4.184972706437111,2.366567295789719,0.06466428856203588,False,True,662,38,700,,,,True,True,True,False,cuda,cuda,267.10641074180603,ring_path_integration
generalization_ring_path_integration,5,ring,gru,1000,0.41661021965013256,0.41751480618882936,3.902038812637329,2.616573204100132,0.007064186056169968,False,True,356,32,388,,,,True,False,True,False,cuda,cuda,267.2330412864685,ring_path_integration
generalization_ring_path_integration,6,ring,gru,1000,0.19057985719447004,0.19079478739513434,5.668067249655723,3.771179473400116,0.09193237841256864,False,True,21,39,60,,,,True,True,True,False,cuda,cuda,266.3930013179779,ring_path_integration
generalization_ring_path_integration,7,ring,gru,1000,0.20663647907041635,0.20817159068458152,2.4186986461281776,2.191291056573391,0.2399948015232899,False,True,653,47,700,,,,True,True,True,False,cuda,cuda,263.8289680480957,ring_path_integration
generalization_ring_path_integration,8,ring,gru,1000,0.1966986620029548,0.1971644472650503,6.054649749398232,3.4541194319725035,0.007044929238760372,False,True,840,42,882,,,,True,False,True,False,cuda,cuda,274.49172854423523,ring_path_integration
generalization_ring_path_integration,9,ring,gru,1000,0.242226158346773,0.24388470451394823,5.616579321026802,4.352945560216904,0.019546132930161983,False,True,25,29,54,,,,True,False,True,False,cuda,cuda,279.04349184036255,ring_path_integration
