experiment,seed,task,model,epochs,final_closed_test_loss,final_open_test_loss,peak_open_test_loss,peak_closed_test_loss,trajectory_gain_distance,open_loop_test_loss_spike,closed_loop_plateau,plateau_length,stage1_end,plateau_end,stability_crossing,stability_to_plateau_gap,final_closed_coupled_radius,closed_recovered,claim_C1_divergence,claim_C2_stages,claim_C3_stability_transition,requested_device,resolved_device,runtime_seconds,perturbation
robustness_feedback_low,1,double_integrator,tanh_rnn,1000,0.1053534382884104,0.2738320186225974,115993.03766925812,115993.03766925812,0.775333838701276,False,False,0,104,104,104.0,0.0,0.7634690412014046,True,True,False,True,cuda,cuda,137.46232843399048,feedback_low
robustness_feedback_low,2,double_integrator,tanh_rnn,1000,0.10461235337038158,0.26849421007733326,38733.01031068087,38733.01031068087,0.7540875045109516,False,False,0,93,93,93.0,0.0,0.7608967513886602,True,True,False,True,cuda,cuda,136.6863169670105,feedback_low
robustness_feedback_low,3,double_integrator,tanh_rnn,1000,0.10468739941534462,0.24771477642469109,14.676710238456726,14.648375377655029,0.7240489321772041,False,False,0,66,66,66.0,0.0,0.7665640860601981,True,True,False,True,cuda,cuda,134.2823886871338,feedback_low
robustness_feedback_low,4,double_integrator,tanh_rnn,1000,0.10379169621042203,0.2542141438368708,29.564174792766572,29.564174792766572,0.6839187784129008,False,False,0,62,62,62.0,0.0,0.7581579947483374,True,True,False,True,cuda,cuda,135.41695261001587,feedback_low
robustness_feedback_low,5,double_integrator,tanh_rnn,1000,0.10354295213636928,0.27926706213504077,226.57322298526765,226.57322298526765,0.7342557355667928,False,False,0,79,79,79.0,0.0,0.7568817437294113,True,True,False,True,cuda,cuda,136.52146792411804,feedback_low
robustness_feedback_low,6,double_integrator,tanh_rnn,1000,0.10429019277514846,0.254389103181893,13.401649014949799,13.288486404418945,0.7306626662734322,False,False,0,67,67,67.0,0.0,0.7634749265472438,True,True,False,True,cuda,cuda,135.32901883125305,feedback_low
robustness_feedback_low,7,double_integrator,tanh_rnn,1000,0.10539243642896079,0.2636180706205778,544.0388913679122,544.0388913679122,0.7575181109519632,False,False,0,87,87,87.0,0.0,0.7675451601740274,True,True,False,True,cuda,cuda,134.9150550365448,feedback_low
robustness_feedback_low,8,double_integrator,tanh_rnn,1000,0.10417574113847403,0.26335955757647755,13.1558478474617,13.1558478474617,0.7063621897668232,False,False,0,62,62,62.0,0.0,0.7643493247348475,True,True,False,True,cuda,cuda,135.56387066841125,feedback_low
robustness_feedback_low,9,double_integrator,tanh_rnn,1000,0.103881988106604,0.2641632983926684,12.376595709323883,12.610556824207306,0.7111160402305546,False,False,0,68,68,68.0,0.0,0.7579632994449081,True,True,False,True,cuda,cuda,136.47011923789978,feedback_low
robustness_feedback_low,10,double_integrator,tanh_rnn,1000,0.10399989115682738,0.2640831848140806,348.2626251220703,348.2626251220703,0.7160872179151985,False,False,0,76,76,76.0,0.0,0.7582950154952864,True,True,False,True,cuda,cuda,136.56504201889038,feedback_low
robustness_feedback_low,11,double_integrator,tanh_rnn,1000,0.10420950017630906,0.274919573883526,24.91994352579117,24.91994352579117,0.7368186864019194,False,False,0,80,80,80.0,0.0,0.7592672963381851,True,True,False,True,cuda,cuda,136.2580156326294,feedback_low
robustness_feedback_low,12,double_integrator,tanh_rnn,1000,0.10506116183410295,0.2933591448236257,36439.25387814283,36439.25387814283,0.7441531437945573,False,False,0,82,82,82.0,0.0,0.7646754092129872,True,True,False,True,cuda,cuda,136.49539065361023,feedback_low
robustness_feedback_low,13,double_integrator,tanh_rnn,1000,0.1042720050412179,0.2840296471025795,3067.84583766222,3067.84583766222,0.7308356779569511,False,False,0,78,78,78.0,0.0,0.7606638232121951,True,True,False,True,cuda,cuda,136.36025381088257,feedback_low
robustness_feedback_low,14,double_integrator,tanh_rnn,1000,0.1047296715250716,0.25321840224321934,12.674973413944244,12.50578379392624,0.7413215165883594,False,False,0,66,66,66.0,0.0,0.7695474695121287,True,True,False,True,cuda,cuda,136.48667645454407,feedback_low
robustness_feedback_high,0,double_integrator,tanh_rnn,1000,0.09027921732658323,0.36266741545900005,29.128095703125,29.128095703125,0.37709227843268384,False,False,0,50,50,50.0,0.0,0.7067389161250958,True,True,False,True,cuda,cuda,135.6342794895172,feedback_high
robustness_feedback_high,1,double_integrator,tanh_rnn,1000,0.0902315025852739,0.44316557914932675,1089387.8028256178,1089387.8028256178,0.40666736470723713,False,False,0,70,70,70.0,0.0,0.6938660217060538,True,True,False,True,cuda,cuda,136.22210216522217,feedback_high
robustness_feedback_high,2,double_integrator,tanh_rnn,1000,0.08985983176341675,0.38875435862675095,415695.1219636488,415695.1219636488,0.393127703936795,False,False,0,63,63,63.0,0.0,0.6936367150608113,True,True,False,True,cuda,cuda,136.1175572872162,feedback_high
robustness_feedback_high,3,double_integrator,tanh_rnn,1000,0.08998594417288946,0.29913639278174287,127.78967638015747,127.78967638015747,0.36336193105580833,False,False,0,44,44,44.0,0.0,0.6949417678090911,True,True,False,True,cuda,cuda,136.21376371383667,feedback_high
robustness_feedback_high,4,double_integrator,tanh_rnn,1000,0.08970924916952246,0.40448426358401773,332.47990564346316,332.47990564346316,0.349982463929875,False,False,0,42,42,42.0,0.0,0.7007652428424519,True,True,False,True,cuda,cuda,136.05503678321838,feedback_high
robustness_feedback_high,5,double_integrator,tanh_rnn,1000,0.08937471819171902,0.39925504037179055,190.0527803134918,190.0527803134918,0.37688785532365265,False,False,0,54,54,54.0,0.0,0.6932655805577805,True,True,False,True,cuda,cuda,136.65807104110718,feedback_high
robustness_feedback_high,6,double_integrator,tanh_rnn,1000,0.08978353461015934,0.3161910510452071,93.26991520166398,93.26991520166398,0.3686520317717629,False,False,0,45,45,45.0,0.0,0.6937613749920293,True,True,False,True,cuda,cuda,136.0204815864563,feedback_high
robustness_feedback_high,7,double_integrator,tanh_rnn,1000,0.09018117431732786,0.3731322451015711,436.8859477043152,436.8859477043152,0.39079255537420915,False,False,0,52,52,52.0,0.0,0.6953676527418166,True,True,False,True,cuda,cuda,136.09069204330444,feedback_high
robustness_feedback_high,8,double_integrator,tanh_rnn,1000,0.0899735925463872,0.37534724311903117,54.17388521432876,54.17388521432876,0.3599066515391107,False,False,0,44,44,44.0,0.0,0.7053251714450094,True,True,False,True,cuda,cuda,136.12894773483276,feedback_high
robustness_feedback_high,9,double_integrator,tanh_rnn,1000,0.08971389161409384,0.3759138711402193,18.422961320877075,18.422961320877075,0.3635536971294559,False,False,0,47,47,47.0,0.0,0.698779469522273,True,True,False,True,cuda,cuda,136.09137511253357,feedback_high
robustness_feedback_high,10,double_integrator,tanh_rnn,1000,0.08955900275029824,0.3717378925625235,331.038516895771,331.038516895771,0.3684452517812295,False,False,0,46,46,46.0,0.0,0.6950919331234954,True,True,False,True,cuda,cuda,136.47251796722412,feedback_high
robustness_feedback_high,11,double_integrator,tanh_rnn,1000,0.08974244408504015,0.3695308876945637,24.55568039178848,25.33134698867798,0.37669957977168256,False,False,0,51,51,51.0,0.0,0.6965517702062889,True,True,False,True,cuda,cuda,136.69697046279907,feedback_high
