experiment,seed,task,model,epochs,final_closed_test_loss,final_open_test_loss,peak_open_test_loss,peak_closed_test_loss,trajectory_gain_distance,open_loop_test_loss_spike,closed_loop_plateau,plateau_length,stage1_end,plateau_end,stability_crossing,stability_to_plateau_gap,final_closed_coupled_radius,closed_recovered,claim_C1_divergence,claim_C2_stages,claim_C3_stability_transition,requested_device,resolved_device,runtime_seconds
original_double_integrator_full,31,double_integrator,tanh_rnn,1000,0.09313144606510747,0.2788118646866542,32.35511382818222,32.35511382818222,0.49724490407674704,False,False,0,51,51,51,0,0.7062574663298825,True,True,False,True,cuda,cuda,140.09728574752808
original_double_integrator_full,32,double_integrator,tanh_rnn,1000,0.09273018083766668,0.3174870817225019,182420.71380911826,182420.71380911826,0.5089015456524841,False,False,0,62,62,62,0,0.6979919109389503,True,True,False,True,cuda,cuda,137.8154845237732
original_double_integrator_full,33,double_integrator,tanh_rnn,1000,0.09445918939288561,0.33119099139235486,76125.62951905966,76125.62951905966,0.5286332135273226,False,False,0,62,62,62,0,0.7192530531683895,True,True,False,True,cuda,cuda,136.91506552696228
original_double_integrator_full,34,double_integrator,tanh_rnn,1000,0.093846232070619,0.2866747641019595,9.437834405899048,12.284942848682403,0.5062068119865274,False,False,0,51,51,51,0,0.7152285422343718,True,True,False,True,cuda,cuda,140.2126739025116
original_double_integrator_full,35,double_integrator,tanh_rnn,1000,0.09250116725520817,0.3372424972988665,690.1248028421402,690.1248028421402,0.49867897830946056,False,False,0,59,59,59,0,0.7002341860994056,True,True,False,True,cuda,cuda,139.24189829826355
original_double_integrator_full,36,double_integrator,tanh_rnn,1000,0.09409130262548737,0.36880641460166896,607877.4748668552,607877.4748668552,0.545019512337674,False,False,0,83,83,83,0,0.7136648422058108,True,True,False,True,cuda,cuda,139.76070189476013
original_double_integrator_full,37,double_integrator,tanh_rnn,1000,0.09336372091169594,0.3154694198231573,159847.97029194116,159847.97029194116,0.5074823764902208,False,False,0,67,67,67,0,0.7087997353844442,True,True,False,True,cuda,cuda,138.66340494155884
original_double_integrator_full,38,double_integrator,tanh_rnn,1000,0.09443723912234564,0.3466352470290417,109.84619031429291,109.84619031429291,0.5359353267444437,False,False,0,62,62,62,0,0.716965252594322,True,True,False,True,cuda,cuda,140.30725002288818
original_double_integrator_full,39,double_integrator,tanh_rnn,1000,0.0923356497605216,0.3321957377251238,15.608240003585815,15.608240003585815,0.48642074561487997,False,False,0,45,45,45,0,0.7037254621017331,True,True,False,True,cuda,cuda,139.57831001281738
original_double_integrator_full,40,double_integrator,tanh_rnn,1000,0.09417408215957886,0.30772313568408494,32.43906024932861,32.43906024932861,0.5157133518241359,False,False,0,52,52,52,0,0.7114033286211559,True,True,False,True,cuda,cuda,138.1949920654297
original_double_integrator_full,41,double_integrator,tanh_rnn,1000,0.09260479773588162,0.34620120242238045,14.62883603811264,14.62883603811264,0.4832145286904899,False,False,0,46,46,46,0,0.7007474818173139,True,True,False,True,cuda,cuda,137.8048219680786
original_double_integrator_full,42,double_integrator,tanh_rnn,1000,0.09374611523924564,0.31035024372371933,27.870718717575073,27.870718717575073,0.5091799593365537,False,False,0,55,55,55,0,0.7121536142046639,True,True,False,True,cuda,cuda,137.9263298511505
original_double_integrator_full,43,double_integrator,tanh_rnn,1000,0.09304465441318026,0.3093530995101901,28.421034727096558,28.421034727096558,0.4960122771624581,False,False,0,49,49,49,0,0.7079227739944361,True,True,False,True,cuda,cuda,138.33347988128662
original_double_integrator_full,44,double_integrator,tanh_rnn,1000,0.09319318915546776,0.2950690139859216,12.671976327896118,12.671976327896118,0.49669449938816973,False,False,0,47,47,47,0,0.7060968081460627,True,True,False,True,cuda,cuda,138.96436285972595
original_double_integrator_full,45,double_integrator,tanh_rnn,1000,0.09413677547076754,0.3227612846568617,25.02542421102524,25.02542421102524,0.5294288462514727,False,False,0,58,58,58,0,0.7142983931691217,True,True,False,True,cuda,cuda,140.83548021316528
original_double_integrator_full,46,double_integrator,tanh_rnn,1000,0.09333381193095097,0.3051507077392307,15648.831858725547,15648.831858725547,0.49845987328326496,False,False,0,52,52,52,0,0.7141765490629707,True,True,False,True,cuda,cuda,140.87799620628357
original_double_integrator_full,47,double_integrator,tanh_rnn,1000,0.09457051301012337,0.3930058068262588,14505.756372668744,14505.756372668744,0.5523801411074211,False,False,0,69,69,69,0,0.7164829708873474,True,True,False,True,cuda,cuda,140.53954577445984
original_double_integrator_full,48,double_integrator,tanh_rnn,1000,0.093167896567469,0.2607102992629825,211.70750565767287,211.70750565767287,0.4789216527113641,False,False,0,48,48,48,0,0.7077524634186609,True,True,False,True,cuda,cuda,141.02799344062805
