valid,boundary1,boundary2,one_segment_sse,two_segment_sse,three_segment_sse,best_two_segment_boundary,three_vs_one_sse_reduction,three_vs_two_sse_reduction,stage1_slope,stage2_slope,stage3_slope,stage1_fast,stage2_slow,stage3_reaccelerates,claim_C2_changepoint_three_stage,experiment,seed,kind,setting
True,40,282,95.23927974263415,3.6085650592145555,1.2095571198874069,42,0.987299808197248,0.6648093909797264,-0.09575481359545054,-0.00190682023046788,-0.0003350836265599003,True,True,False,False,original_double_integrator_full,22,original,original
True,40,200,367.4153360321311,54.086625096897734,50.31684753912663,40,0.8630518581980847,0.06969888675837035,-0.19917292467503328,-0.0034915397550195574,-0.00040482660117955563,True,True,False,False,original_double_integrator_full,23,original,original
True,40,272,117.96777077190677,3.6182496479835393,1.1512505937684097,42,0.9902409735622251,0.6818211274034104,-0.1049578416259162,-0.0020156673465083134,-0.0003339652426810692,True,True,False,False,original_double_integrator_full,24,original,original
True,44,256,155.6361521363949,3.657031839783407,1.283609449157293,48,0.9917524981725815,0.6490023862539528,-0.10294619167979097,-0.0022313419324819124,-0.0003532308029488743,True,True,False,False,original_double_integrator_full,25,original,original
True,40,102,552.7394902385579,56.17076126333578,51.10448506188639,40,0.907543271352242,0.09019418799930495,-0.2559085134465082,-0.013010319344870302,-0.0005094633385810786,True,True,False,False,original_double_integrator_full,26,original,original
True,40,240,137.35282883439186,5.994877962554845,3.312235882865849,44,0.9758852008293222,0.44748902253645395,-0.11055596416331478,-0.0024729860881117457,-0.00036934010072425284,True,True,False,False,original_double_integrator_full,27,original,original
True,42,238,171.48213943605288,4.264079128269703,1.5305210808267762,46,0.9910747493245643,0.6410664448790757,-0.1139531563552347,-0.0025932244660720814,-0.0003689920296182113,True,True,False,False,original_double_integrator_full,28,original,original
True,40,270,223.19433039640944,18.51280864334737,15.973179366704358,40,0.9284337584277574,0.13718227879785466,-0.17192579594906227,-0.002032476167012762,-0.00034367606692347556,True,True,False,False,original_double_integrator_full,29,original,original
True,40,80,708.4734268914931,49.826525870067485,42.68553747646834,40,0.9397499809361152,0.14331700372248876,-0.2842410780934839,-0.028298188680084376,-0.0005465003974248648,True,True,False,False,original_double_integrator_full,30,original,original
True,40,262,122.38695887620815,5.156190408729927,2.672549287474162,42,0.9781631203846041,0.4816814206571428,-0.10826010056188633,-0.002101381290850769,-0.0003510693995231865,True,True,False,False,original_double_integrator_full,31,original,original
True,40,84,785.0927450262625,76.98678267646397,71.02259240487223,40,0.9095360479958371,0.07747031456888105,-0.31499604896501837,-0.022475028001680216,-0.0005333250964043975,True,True,False,False,original_double_integrator_full,32,original,original
True,40,106,454.7821247983825,75.16348007746852,69.44580581667901,40,0.8472987348667974,0.07606984475567775,-0.2114747699615111,-0.012696167390795501,-0.0005309925896235994,True,True,False,False,original_double_integrator_full,33,original,original
True,40,264,107.29921755233818,3.475624035679971,0.9945117758818505,44,0.9907314163274606,0.7138609453518513,-0.09592929821233782,-0.002156110458895637,-0.00034876769025318793,True,True,False,False,original_double_integrator_full,34,original,original
