experiment,kind,setting,seed,epochs,final_closed_test_loss,final_open_test_loss,deployed_loss_gap,deployed_loss_gap_relative_to_closed,finite_final_losses,peak_open_test_loss,peak_closed_test_loss,trajectory_gain_distance,open_loop_test_loss_spike,closed_recovered,stage1_end,plateau_end,plateau_length,plateau_detected,plateau_exit_detected,plateau_exit_reason,stability_crossing,stability_to_plateau_gap,final_closed_coupled_radius,claim_C1_loss_divergence,claim_C1_gain_divergence,claim_C2_plateau_present,claim_C2_three_stage,claim_C3_stability_transition,claim_C4_proxy
original_double_integrator_full,original,original,24,1000,0.0925662103800494,0.3490673029236495,0.2565010925436001,2.771001335049611,True,12.795299372673036,12.795299372673036,0.492092091948779,False,True,51,700,649,True,False,fallback,51.0,649.0,0.7084347932492521,True,True,True,False,True,False
original_double_integrator_full,original,original,25,1000,0.0933436939199108,0.2890858748629565,0.19574218094304568,2.0970048722412153,True,16.84220885038376,18.71407422542572,0.5118805610958922,False,True,56,700,644,True,False,fallback,56.0,644.0,0.7109772078828863,True,True,True,False,True,False
original_double_integrator_full,original,original,26,1000,0.0933491700091464,0.3221424523126006,0.2287932823034542,2.450940723747591,True,86349.14801049948,86349.14801049948,0.5089148540089921,False,True,61,700,639,True,False,fallback,61.0,639.0,0.7027797197806789,True,True,True,False,True,False
original_double_integrator_full,original,original,27,1000,0.0937042837001427,0.2853064209948872,0.19160213729474448,2.04475323569922,True,44.8152377653122,44.8152377653122,0.506568424449263,False,True,54,700,646,True,False,fallback,54.0,646.0,0.7037577442344897,True,True,True,False,True,False
original_double_integrator_full,original,original,28,1000,0.0928820251451242,0.3156766198007972,0.222794594655673,2.3986836452754554,True,32.88915580272675,32.88915580272675,0.4993229083065259,False,True,56,700,644,True,False,fallback,56.0,644.0,0.7066918929281432,True,True,True,False,True,False
original_double_integrator_full,original,original,29,1000,0.0932163950163862,0.2694932329593211,0.1762768379429349,1.8910497226582057,True,303.59836642026903,303.59836642026903,0.48202030865974127,False,True,50,700,650,True,False,fallback,50.0,650.0,0.7043172736175631,True,True,True,False,True,False
original_double_integrator_full,original,original,30,1000,0.0930047454198328,0.3392223801865475,0.2462176347667147,2.6473663645361696,True,145410.69121056795,145410.69121056795,0.5127907684101691,False,True,64,700,636,True,False,fallback,64.0,636.0,0.7021126236831818,True,True,True,False,True,False
original_double_integrator_full,original,original,31,1000,0.0931314460651074,0.2788118646866542,0.1856804186215468,1.9937456838342142,True,32.35511382818222,32.35511382818222,0.4972449040767471,False,True,51,700,649,True,False,fallback,51.0,649.0,0.7062574663298825,True,True,True,False,True,False
original_double_integrator_full,original,original,32,1000,0.0927301808376666,0.3174870817225019,0.2247569008848353,2.4237729168057442,True,182420.71380911823,182420.71380911823,0.5089015456524841,False,True,62,700,638,True,False,fallback,62.0,638.0,0.6979919109389503,True,True,True,False,True,False
original_double_integrator_full,original,original,33,1000,0.0944591893928856,0.3311909913923548,0.2367318019994692,2.506180748755178,True,76125.62951905966,76125.62951905966,0.5286332135273227,False,True,62,700,638,True,False,fallback,62.0,638.0,0.7192530531683895,True,True,True,False,True,False
original_double_integrator_full,original,original,34,1000,0.093846232070619,0.2866747641019595,0.19282853203134054,2.0547285466531853,True,9.437834405899048,12.284942848682403,0.5062068119865274,False,True,51,700,649,True,False,fallback,51.0,649.0,0.7152285422343718,True,True,True,False,True,False
original_double_integrator_full,original,original,35,1000,0.0925011672552081,0.3372424972988665,0.24474133004365842,2.64581882916595,True,690.1248028421402,690.1248028421402,0.49867897830946056,False,True,59,700,641,True,False,fallback,59.0,641.0,0.7002341860994056,True,True,True,False,True,False
original_double_integrator_full,original,original,36,1000,0.0940913026254873,0.3688064146016689,0.2747151119761816,2.9196653071074308,True,607877.4748668552,607877.4748668552,0.545019512337674,False,True,83,700,617,True,False,fallback,83.0,617.0,0.7136648422058108,True,True,True,False,True,False
original_double_integrator_full,original,original,37,1000,0.0933637209116959,0.3154694198231573,0.2221056989114614,2.3789293822332835,True,159847.97029194116,159847.97029194116,0.5074823764902208,False,True,67,700,633,True,False,fallback,67.0,633.0,0.7087997353844442,True,True,True,False,True,False
original_double_integrator_full,original,original,38,1000,0.0944372391223456,0.3466352470290417,0.2521980079066961,2.670535587978889,True,109.84619031429293,109.84619031429293,0.5359353267444438,False,True,62,700,638,True,False,fallback,62.0,638.0,0.716965252594322,True,True,True,False,True,False
original_double_integrator_full,original,original,39,1000,0.0923356497605216,0.3321957377251238,0.23986008796460218,2.5976975153875523,True,15.608240003585816,15.608240003585816,0.48642074561488,False,True,45,700,655,True,False,fallback,45.0,655.0,0.7037254621017331,True,True,True,False,True,False
original_double_integrator_full,original,original,40,1000,0.0941740821595788,0.3077231356840849,0.2135490535245061,2.2675989893126367,True,32.43906024932861,32.43906024932861,0.515713351824136,False,True,52,700,648,True,False,fallback,52.0,648.0,0.7114033286211559,True,True,True,False,True,False
original_double_integrator_full,original,original,41,1000,0.0926047977358816,0.3462012024223804,0.2535964046864988,2.7384801963477297,True,14.62883603811264,14.62883603811264,0.48321452869049003,False,True,46,700,654,True,False,fallback,46.0,654.0,0.7007474818173139,True,True,True,False,True,False
original_double_integrator_full,original,original,42,1000,0.0937461152392456,0.3103502437237193,0.2166041284844737,2.3105397800398153,True,27.870718717575077,27.870718717575077,0.5091799593365537,False,True,55,700,645,True,False,fallback,55.0,645.0,0.7121536142046639,True,True,True,False,True,False
original_double_integrator_full,original,original,43,1000,0.0930446544131802,0.3093530995101901,0.21630844509700986,2.3247810039301813,True,28.42103472709656,28.42103472709656,0.49601227716245816,False,True,49,700,651,True,False,fallback,49.0,651.0,0.7079227739944361,True,True,True,False,True,False
original_double_integrator_full,original,original,44,1000,0.0931931891554677,0.2950690139859216,0.2018758248304539,2.1662079242044023,True,12.671976327896118,12.671976327896118,0.49669449938816973,False,True,47,700,653,True,False,fallback,47.0,653.0,0.7060968081460627,True,True,True,False,True,False
original_double_integrator_full,original,original,45,1000,0.0941367754707675,0.3227612846568617,0.22862450918609423,2.428641814453157,True,25.02542421102524,25.02542421102524,0.5294288462514728,False,True,58,700,642,True,False,fallback,58.0,642.0,0.7142983931691217,True,True,True,False,True,False
original_double_integrator_full,original,original,46,1000,0.0933338119309509,0.3051507077392307,0.21181689580827978,2.2694551034193653,True,15648.831858725547,15648.831858725547,0.4984598732832651,False,True,52,700,648,True,False,fallback,52.0,648.0,0.7141765490629707,True,True,True,False,True,False
original_double_integrator_full,original,original,47,1000,0.0945705130101233,0.3930058068262588,0.2984352938161355,3.1556907572679602,True,14505.756372668744,14505.756372668744,0.5523801411074211,False,True,69,700,631,True,False,fallback,69.0,631.0,0.7164829708873474,True,True,True,False,True,False
original_double_integrator_full,original,original,48,1000,0.093167896567469,0.2607102992629825,0.16754240269551351,1.798284697499691,True,211.70750565767287,211.70750565767287,0.4789216527113642,False,True,48,700,652,True,False,fallback,48.0,652.0,0.7077524634186609,True,True,True,False,True,False
original_double_integrator_full,original,original,49,1000,0.0931253091079535,0.3036505453023096,0.21052523619435612,2.26066617347073,True,9142.39594620943,9142.39594620943,0.5112374149784057,False,True,64,700,636,True,False,fallback,64.0,636.0,0.7017432792390166,True,True,True,False,True,False
robustness_adam,robustness,adam,0,1000,0.078131886692004,0.0794124299765098,0.001280543284505803,0.016389509312039353,True,23454.049926774504,141.9070227098465,0.008365799665999362,True,True,47,700,653,True,False,fallback,47.0,653.0,0.6548561030902532,False,False,True,False,True,True
robustness_adam,robustness,adam,1,1000,0.078269189636736,0.0794907045045693,0.0012215148678332982,0.015606586365626235,True,476814.58604296687,476814.58604296687,0.010452915651966328,False,True,58,700,642,True,False,fallback,58.0,642.0,0.6199320935893671,False,False,True,False,True,False
robustness_adam,robustness,adam,2,1000,0.0779799477524164,0.0793648932910036,0.0013849455385872012,0.017760277847124938,True,176465.06319591284,171145.6100800228,0.006768831201868078,False,True,57,700,643,True,False,fallback,57.0,643.0,0.6105702973291545,False,False,True,False,True,False
robustness_adam,robustness,adam,3,1000,0.0782572922770749,0.0795824190191278,0.0013251267420529012,0.016932949038936922,True,331.091458773613,41.16185930013657,0.00763007228270565,True,True,44,700,656,True,False,fallback,44.0,656.0,0.6463510398987624,False,False,True,False,True,True
